S,Delta(S)
30,-1
31.7172,-1
33.4343,-1
35.1515,-1
36.8687,-1
38.5859,-0.999999
40.303,-0.999998
42.0202,-0.999994
43.7374,-0.999985
45.4545,-0.999965
47.1717,-0.999926
48.8889,-0.99985
50.6061,-0.999715
52.3232,-0.999481
54.0404,-0.999094
55.7576,-0.998477
57.4747,-0.997548
59.1919,-0.996167
60.9091,-0.994192
62.6263,-0.991467
64.3434,-0.987846
66.0606,-0.982972
67.7778,-0.976847
69.4949,-0.969016
71.2121,-0.959396
72.9293,-0.94816
74.6465,-0.93473
76.3636,-0.918966
78.0808,-0.900824
79.798,-0.880388
81.5152,-0.857907
83.2323,-0.833028
84.9495,-0.806372
86.6667,-0.778497
88.3838,-0.747304
90.101,-0.715982
91.8182,-0.683839
93.5354,-0.647712
95.2525,-0.615253
96.9697,-0.582743
98.6869,-0.546953
100.404,-0.510394
102.121,-0.476134
103.838,-0.443711
105.556,-0.41192
107.273,-0.38101
108.99,-0.351204
110.707,-0.322701
112.424,-0.295663
114.141,-0.270214
115.859,-0.246258
117.576,-0.223476
119.293,-0.202537
121.01,-0.18341
122.727,-0.16602
124.444,-0.146868
126.162,-0.132563
127.879,-0.11979
129.596,-0.107306
131.313,-0.0937446
133.03,-0.0849963
134.747,-0.0750949
136.465,-0.0656401
138.182,-0.0599755
139.899,-0.0500083
141.616,-0.0461356
143.333,-0.039978
145.051,-0.0352107
146.768,-0.0314875
148.485,-0.0267579
150.202,-0.024411
151.919,-0.0203378
153.636,-0.0186089
155.354,-0.0155356
157.071,-0.0139339
158.788,-0.0119783
160.505,-0.0102361
162.222,-0.0093462
163.939,-0.00736821
165.657,-0.00736821
167.374,-0.00550902
169.091,-0.00518999
170.808,-0.00448787
172.525,-0.00357204
174.242,-0.00357204
175.96,-0.00267952
177.677,-0.00239844
179.394,-0.00230973
181.111,-0.00159711
182.828,-0.00156845
184.545,-0.00146553
186.263,-0.000997103
187.98,-0.000997103
189.697,-0.000954924
191.414,-0.000626862
193.131,-0.000615008
194.848,-0.000615008
196.566,-0.000430771
198.283,-0.000367248
200,-0.000367248
